characterName,neutral,@alignImage,alignment,aligned,unaligned,goal1,Type,Type2
The Heroic Voyager,Gain 1 additional Influence per Tile placed.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,"When placing a Resource Tile, additionally gain 2 of that Resource.",You may take an Exploration Event instead of a Normal Event. Place the new Tile at the closest location off the board.,Discover 5 Tiles. (Track on the side of your Player Board),Event,Explore
The Lake Overseer,"Upon completing a Building adjacent to a Lake, gain 2 Stone.",C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,"When completing a Water Building, gain x2 Influence from completion bonuses.","Once per turn, you may use 2 Crystals to change an empty Plains you're standing on into a Floodplains.","Build one Water Building. (Aqueduct, Bath, Lighthouse, Fishing Spot)",Build,Adjacency
The Prolific Builder,Refund all Resources from completing the final Layer of a Building. ,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,"Upon visiting a Building you do not own, you may additionally take the Owner Visit Bonus.",You may trade 1 Crystal for 1 of any other Resource once per turn.,Complete 2 Buildings.,Build,Refund
The Silver-Tongued Envoy,You can have 2 Invitations. Completing a Invitation gives you +3 Influence.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,"Upon completing a Cursed Invitation, you may assign the Invitation to another player.",Hanging Invitations are half the cost to complete.,Complete 2 Hanging Invitations.,Event,Invitations
The Oracle,"After reading an Event, you may roll 1d6. If you roll even, redraw that Event.",C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,"When you draw an Event, draw +1 Event, pick 1 Event, then resolve. ","During your basic ability's roll, if you roll odd, you may gain 1 Resource of any kind.",Avoid a Cursed Invitation.,Event,Advantage
The Cyclops,Layers for Marble-foundation buildings cost 1 less Marble.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\sun_align.png,sun,(Replaces Ability) All Layers cost 1 less of one type of Resource.,"When another Player Gains 5 or 6 Marble, take 1 from them.",Build 1 Marble Building.,Build,Discount
The Shepherd of Arcadia,+2 on Populate rolls. You gain any overflowed resources.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,"Before Gathering, Repopulate that Resource Tile.",Roll a Populate dice for Gathers.,Get 5 of each Resource. (Track on the side of your Player Board.),Gather,Populate
The Woodland Nymph,+1 wood on Gathering on Forest Tiles. Remove pips from original roll.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,+1 wood on all Gathers (total +2 wood on Forest Gathers.),(Replaces ability) +1 Stone or Marble on Quarry or Basin Gathers.,Have 10 Wood in your inventory at one moment.,Gather,Wood
The Iconoclast,"Casting loses you 1 Influence. Whenever you acquire a sigil, gain 1 Influence.",C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,All Sigil gaining events or purchases are half their cost.,"Upon entering this Alignment, discard all your Sigils. For each Sigil discarded, gain 2 Influence.",Gain 6 Sigils. (Track on the side of your Player Board),Spells,Sigils
The Centrifuge,Your Alignment changes are doubled.,C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,"Upon entering this Alignment, Gather Marble or Crystal.","Upon entering this Alignment, Gather Wood or Stone.","Align, Unalign, then Align again back-to-back. (If you Align Neutral between, it doesn't count.)",Alignment,Resource
The Horn of Amalthea,"When you Cast, you may Replenish one Resource type.",C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,"Upon Gathering, Gather again.","During your Season, if anyone Gathers from the Resource you Replenished, gain 1 Influence.",Replenish 3 times in 1 Season.,Gather,Spells
The Nimble Cheat,"At the start of the game, +1 Speed, +1 Crystal.",C:\Users\Anna\GitStuff\magicCityBuilder\MBB\Card Stuff\moon_align.png,moon,Gain Advantage on all rolls.,Walking over a Resource Tile gives you +1 of that Resource. Do not decrement pips. -2 Speed.,Move 20 tiles. (Track on the side of your Player Board),Gather,Speed
