num,title,desc,eff
1,Eruption,"The ground begins to tremble. Billows of grey clouds fill the sky above as ash rains down. You have to get away, NOW!","If there is a volcano tile, it erupts. All adjacent Resource Tiles lose 1d6 of each resource. Then, shuffle this card back into the deck."
2,Benevolence,The spirits of the land are feeling generous today.,"Roll 1d6 to gather additional resources from this tile. If there are no Resources, place down a single Resource Tile adjacent to you and Populate it."
3,Earthquake,The land beneath you cracks and groans as a massive rift divides the earth beneath.,Swap the tile you're standing on with one other tile. Any Player on the tiles move with the tiles.
4,Vivacious,The land is very active today.,Gain a Verb Sigil.
5,Swell,The magic of the world swells around you manifesting in a sigil.,"If you have at least 3 Crystals or you are standing on a Cave tile, gain 1 Sigil."
6,Well,The water receeds from the flood plain revealing a well of magic.,"Gain 1 Sigil. If not on or adjacent to a Floodplains, place a Floodplains adjacent to your current tile."
7,Flood,The rivers are flooding.,All Plains adjacent to a body of water become Floodplains.
8,Drought,Your city is experiencing a drought.,All Floodplains up to 2 tiles away become Plains.
9,Growth,"You find glowing roots extruding, slithering out over the soil. Flowers and weeds bloom in abundance where ever the lights touch.",Gain a Quantity Sigil.
10,Manifest,"Your patron has found their way into your deepest desires. You find the object of your desires manifested in front of you, ready for you to control.",Gain a Subject Sigil.
11,Yearning,"You have been yearning for something just beyond your reach. Today, though, you find a new power to use it at your disposal.",Gain a Subject Sigil.
12,Lost,"Go spelunking, they said, it'll be fun! What they never say is what happens when you get lost. If you ever find a way out, you know where to find a new marble deposit.",Gain a Verb Sigil.
13,Nature,"The trees are alive?",Gain a Subject Sigil.
14,Rock,You hear a rock speaking to you. It seems to want to be friends.,Gain a Subject Sigil.
15,Visions,You've been seeing visions of a specific action over and over again. You feel the power to do it at your disposal.,Gain a Verb Sigil.
16,Prophecy,A chill runs down your spine and you find yourself locked into place. A prophetic word is hissed into your ear.,Gain an Subject Sigil or Verb Sigil.
17,Destiny,You've found yourself moving through the world with a particular intensity. Perhaps it could dictate your magic as well.,Gain a Quantity Sigil.
18,Prize,"As your explore, you find a locked, decrepit chest. It seems to be vibrating with your approach. Will you open it?","If you open it, gain 1 Sigil. If you don't, take 2 Resources, then reshuffle this card back into the deck."
19,Siren,"In a clearing, you hear a siren's call from a small pond. Roll to resist it, or use a spell to otherwise stop its call.","Roll a d6. On 4+, gain a Verb Sigil."
20,Maze,You find yourself at the mouth of an ever-shifting labyrinth.,"[Hanging Invitation] Roll a d6. On 4+, conquer the maze, gain 2 sigils, and discard this card. Else, retain this card."
21,Deity,You find the temple of a long-forgotten deity. There is a place for an offering.,"Leave 3 Crystal to gain 1 Sigil. Otherwise, discard this card."
22,Choice,"Your guide offers you the chance to gain two boons, or the safety to guarantee one. Choose your path.","Chance: Roll a d6. On 4+, gain 1 Quantity Sigil and 1 Sigil. Otherwise, gain none. Safety: Gain 1 Sigil."
23,Curiosity,"You hear a scuttering in the brush nearby, a yip follows shortly after. Do you investigate or continue on your path?","Investigate: You find a fox kit stuck in a bramble, with something shiny in its mouth. Gain 1 Sigil. Continue: Move to an adjacent tile and take another Narrative Event before ending your turn."
24,Breeze,"A wind current blows across the island, strong enough to lift your hard-earned resources.","Choose another Player. You two may take a Trade for up to 6 Resources, regardless of your position"
25,Masquerade,"You stumble upon a grove of ghosts, twirling around to music you cannot hear. They stop and stare when you arrive, expecting an offering.","Give 3 Crystals to gain 2 Influence, then discard. Otherwise, discard this card."
26,Stars,"Magic surges from the sky, resulting in shooting stars of condensed power. If only you could catch one...","Roll a d6. On 4+, gain 1 Sigil."
27,Power,Two gargoyles sit at an abandoned ruins. Great power rests within them. Will you unlock it through rebirth or destruction?,"Rebuild: Give 2 Stone to repair them, and gain 1 Influence. Align 1 towards the Sun. Destroy: Gain 1 Sigil. Align 1 towards the Moon."
28,Shards,"A gnome made of porcelain with a broken hat hobbles up to your feet. It threatens you with its own shards, seeking something to fix its wounds.","Pay 2 Marble to the gnomes. Otherwise, lose 3 Stone."
29,Spotted,"A figure lurks within the fog. It spots you, just as you have found it. It approaches, leaving you with two options: stay or hide?","Stay: Pay 2 Crystal to uncover the creature in the fog. Gain 1 Sigil. Hide: Pay 1 Stone and 1 Wood to escape from the creature. Align 1 towards the Moon."
30,Chance,The spirit of chance has bestowed itself upon you. It would be a waste not to utilize Lady Luck's blessing.,Choose another Player and together decide on the stakes of a dice roll. Both Players roll a d6. The higher number wins and obtains the reward from the bet.
31,Masks,"You come across a group of masked individuals building a wooden structure. As you approach, they simply stare in your direction. Perhaps you could lend a hand?","[Hanging Invitation] Donate 2 Resources or use a Spell to assist their building. If you donate, Gain 1 Influence. If you cast a Spell, draw 3 Sigils."
32,Fishing,"An old man walks by. He claims there's a really good fishing spot nearby, but he needs 5 wood to show you.","[Hanging Invitation] Upon paying: place the Fishing Boats on a Lake, and move your charater onto that same Lake. Gain 1 Influence + 3 Influence per adjacent floodplains. That Lake is traversable."
33,Admiration,"You find a person sitting forlornly on a rock, visibly smitten. They tell you they want you to send a letter to their secret admirer.",[Hanging Invitation] Return the letter to a Stone Building. Gain a Verb Sigil upon completion.
34,Scrying,There's an abandoned tower in the distance. An eerie hum could be heard as you approach.,[Hanging Invitation] Pay 5 Crystals to Build the Scryer's Tower. Gain a Subject Sigil upon completion.
35,Desperation,"A ghost happens upon you. ""Crystals... I need more crystals..."" Its muttering scares and intrigues you. Will you give it the crystals it seeks?","[Hanging Invitation] Pay 2 Crystals. Upon giving Resources: The ghost seems pleased, and it cackles before handing you a Subject Sigil. ""Enjoy,"" it giggles once more before disappearing."
36,Rainbow,"A portal opens, folding and bending in strange ways as you venture forward hesitantly. Light scatters from it, refracting into small rainbows.","[Hanging Invitation] Pay 7 Crystals to Build the Portal Circle. Place one side adjacent or under you, and the other on any buildable tile. Gain 1 Sigil upon completion."
37,Shiny,"In your travels, you meet a dwarf looking to build a home. He offers you shiny objects from his adventures in exchange for the materials.",[Hanging Invitation] Pay 2 Stone and 2 Wood. Gain 2 Sigils upon completion.
